Respondent_ID,Age,Gender,Education_Level,Employment_Status,Marital_Status,Household_Income,Region,Owns_Home,Has_Children,Internet_Usage_Hours,Political_Affiliation
1,56,Female,Bachelor's,Unemployed,Divorced,36631,South,Yes,Yes,10,Liberal
2,69,Male,Bachelor's,Retired,Married,39887,North,No,Yes,5,Conservative
3,46,Female,PhD,Employed,Single,143447,West,No,Yes,10,Liberal
4,32,Male,Bachelor's,Student,Divorced,45259,North,No,Yes,2,Liberal
5,60,Female,PhD,Retired,Single,117932,North,Yes,Yes,1,Other
6,25,Other,High School,Student,Single,77987,Central,Yes,Yes,0,Liberal
7,38,Male,High School,Employed,Married,69630,West,Yes,Yes,8,Liberal
8,56,Male,Bachelor's,Employed,Divorced,39144,Central,No,No,0,Other
9,36,Male,Bachelor's,Retired,Widowed,98191,South,No,Yes,10,Independent
10,40,Male,Master's,Unemployed,Divorced,126272,South,No,No,3,Conservative
11,28,Female,PhD,Employed,Widowed,69060,West,No,No,5,Conservative
12,28,Female,Bachelor's,Employed,Single,75092,East,Yes,Yes,8,Independent
13,41,Male,High School,Retired,Single,40836,South,Yes,Yes,3,Other
14,53,Male,Master's,Retired,Married,133047,North,Yes,No,6,Independent
15,57,Male,Bachelor's,Retired,Widowed,86904,West,No,Yes,6,Conservative
16,41,Female,High School,Employed,Divorced,120530,West,Yes,No,5,Conservative
17,20,Male,Bachelor's,Student,Married,64456,South,Yes,Yes,8,Independent
18,39,Female,Master's,Employed,Married,56380,South,Yes,No,10,Liberal
19,19,Female,Master's,Retired,Married,140250,Central,No,No,9,Conservative
20,41,Female,Bachelor's,Unemployed,Divorced,97735,Central,No,No,6,Independent
21,61,Male,Bachelor's,Unemployed,Married,128338,North,No,No,2,Liberal
22,47,Female,PhD,Retired,Divorced,31569,West,No,No,5,Liberal
23,55,Male,Bachelor's,Unemployed,Married,145294,East,No,No,6,Other
24,19,Male,Bachelor's,Employed,Widowed,119363,East,Yes,No,11,Independent
25,38,Female,High School,Student,Single,51182,West,Yes,Yes,6,Conservative
26,50,Female,Master's,Employed,Widowed,136332,North,No,Yes,5,Other
27,29,Male,High School,Retired,Widowed,98651,Central,Yes,Yes,2,Conservative
28,39,Male,High School,Employed,Married,41649,Central,Yes,No,5,Liberal
29,61,Male,Bachelor's,Unemployed,Widowed,103731,Central,Yes,Yes,1,Independent
30,42,Male,High School,Employed,Widowed,116132,East,Yes,Yes,9,Liberal
31,66,Male,Bachelor's,Student,Widowed,120497,East,Yes,No,0,Liberal
32,44,Male,High School,Unemployed,Married,47003,North,Yes,Yes,7,Liberal
33,59,Male,Bachelor's,Student,Divorced,36551,East,No,No,2,Independent
34,45,Female,High School,Student,Single,134432,South,No,No,7,Other
